id,split,baseline_minified_json_bytes,l1_bytes,l1d_bytes,l1_reduction,l1d_warm_reduction,full_hash_equal,critical_hash_equal
controlled_release_pilot,training,2001,1558,1342,0.22138930534732637,0.32933533233383305,True,True
controlled_release_review,training,2163,1692,1405,0.21775312066574204,0.35043920480813684,True,True
research_claim_pilot,training,2028,1582,1366,0.21992110453648916,0.3264299802761341,True,True
research_claim_review,training,2192,1714,1427,0.21806569343065696,0.34899635036496346,True,True
model_migration_pilot,training,2059,1606,1390,0.22000971345313258,0.3249150072850898,True,True
model_migration_review,training,2217,1735,1448,0.21741091565178172,0.3468651330626973,True,True
resource_exchange_pilot,training,1943,1486,1270,0.23520329387545036,0.3463715903242409,True,True
resource_exchange_review,training,2083,1615,1328,0.22467594815170422,0.3624579932789246,True,True
conflict_review_pilot,training,2029,1586,1229,0.21833415475603746,0.39428289797930016,True,True
conflict_review_review,training,2188,1717,1289,0.21526508226691043,0.4108775137111518,True,True
data_retention_pilot,training,2003,1557,1341,0.2226660009985022,0.3305042436345482,True,True
data_retention_review,training,2167,1689,1402,0.22058144900784493,0.3530226119058606,True,True
autonomous_agent_pilot,training,2054,1601,1369,0.2205452775073028,0.3334956183057449,True,True
autonomous_agent_review,training,2213,1731,1428,0.21780388612742885,0.3547220967013104,True,True
public_policy_pilot,training,2064,1607,1391,0.2214147286821705,0.32606589147286824,True,True
public_policy_review,training,2200,1732,1445,0.21272727272727276,0.34318181818181814,True,True
education_assessment_pilot,training,2055,1612,1396,0.21557177615571776,0.3206812652068126,True,True
education_assessment_review,training,2219,1748,1461,0.2122577737719693,0.34159531320414604,True,True
environmental_monitoring_pilot,training,2157,1711,1354,0.20676866017617057,0.3722763096893834,True,True
environmental_monitoring_review,training,2331,1853,1425,0.20506220506220507,0.38867438867438864,True,True
scientific_replication_pilot,training,2117,1664,1448,0.21398205007085502,0.3160132262635805,True,True
scientific_replication_review,training,2282,1800,1513,0.21121822962313763,0.33698510078878174,True,True
community_governance_pilot,training,2027,1570,1211,0.22545633941785892,0.4025653675382338,True,True
community_governance_review,training,2170,1702,1272,0.215668202764977,0.4138248847926267,True,True
archival_compression_pilot,heldout,2047,1604,1355,0.21641426477772352,0.33805569125549584,True,True
archival_compression_review,heldout,2211,1740,1420,0.21302578018995932,0.35775667118950705,True,True
emergency_override_pilot,heldout,2083,1637,1421,0.21411425828132502,0.31781084973595775,True,True
emergency_override_review,heldout,2251,1773,1486,0.21235006663705025,0.3398489560195469,True,True
supply_chain_pilot,heldout,2079,1626,1410,0.21789321789321792,0.32178932178932174,True,True
supply_chain_review,heldout,2234,1752,1465,0.21575649059982094,0.3442256042972247,True,True
clinical_triage_pilot,heldout,2046,1589,1373,0.22336265884652984,0.32893450635386123,True,True
clinical_triage_review,heldout,2184,1716,1429,0.2142857142857143,0.3456959706959707,True,True
labor_allocation_pilot,heldout,2023,1580,1364,0.2189817103311913,0.32575383094414234,True,True
labor_allocation_review,heldout,2183,1712,1425,0.2157581310123683,0.3472285845167201,True,True
knowledge_merge_pilot,heldout,2007,1561,1345,0.2222222222222222,0.3298455406078724,True,True
knowledge_merge_review,heldout,2172,1694,1407,0.2200736648250461,0.35220994475138123,True,True
